KDA_bucket,count,winrate
0-0.5,2223,0.1484480431848853
0.5-1,3943,0.10930763378138474
1-2,9462,0.24941872754174593
2-3,8685,0.4869314910765688
3-5,9159,0.7133966590239109
5-10,5228,0.8934583014537107
10+,1710,0.9736842105263158
